Row,Title_NL,Description_NL,Title_EN,Description_EN
2,"Tosti Tolhuis","Tosti kaas, sambal en ui.","Grilled Cheese Sandwich Tolhuis","Grilled cheese with sambal and onions."
3,"Tosti kaas","Klassieke tosti met gesmolten kaas.","Grilled Cheese Sandwich","Classic sandwich with melted cheese."
4,"Tosti kaas & tomaat","Tosti met kaas en tomaat.","Grilled Cheese and Tomato Sandwich","Toasted sandwich with cheese and tomato."
5,"Tosti kaas & ham of salami","Tosti met kaas en keuze uit ham of salami.","Grilled Cheese Sandwich with Ham or Salami","Toasted sandwich with cheese and your choice of ham or salami."
6,"Tolhuis Royaal","Kaas, sambal, ui en een gebakken ei.","Tolhuis Royale","Cheese, sambal, onion, and a fried egg."
7,"Tosti Hawaï","Kaas, ham en ananas.","Hawaiian Toastie","Cheese, ham, and pineapple."
8,"Tosti Italiaans","Mozzarella, tomaat, pesto en kruiden.","Italian Toastie","Mozzarella, tomato, pesto, and herbs."
9,"Tosti Frans brie","Tomaat, honing en walnoten.","French Brie Toastie","Tomato, honey, and walnuts."
10,"Tosti Tuna melt","Kaas en tonijnsalade.","Tuna Melt Sandwich","Cheese and tuna salad."
11,"Tosti Geit","Geitenkaas, honing en walnoten.","Goat Cheese Toast","Goat cheese, honey, and walnuts."
12,"Tosti Salami","Kaas, sambal en ui.","Salami Toastie","Cheese, sambal, and onion."
13,"Tosti Indisch","Kaas, pindakaas, sambal en uitjes.","Indonesian Toastie","Cheese, peanut butter, sambal, and shallots."
14,"Tosti Aziatisch","Kaas en gember.","Asian Grilled Cheese","Cheese and ginger."
15,"Tosti Gooisch","Kaas, zalm en ui.","Gooisch Toastie","Cheese, salmon, and onion."
16,"Tosti Mexicano","Kaas, pulled chicken, ui en BBQ-saus.","Mexican Toastie","Cheese, pulled chicken, onions, and BBQ sauce."
17,"Uitsmijter Naturel beenham","Klassieke uitsmijter met gebakken eieren en brood.","Classic Uitsmijter with Ham","Traditional open-faced sandwich topped with fried eggs and served on bread."
18,"Uitsmijter kaas / boerenham / spek","Uitsmijter met gebakken eieren en plakken beenham.","Open-faced Sandwich with Cheese, Ham, and Bacon","Toasted bread topped with fried eggs, slices of cured ham, and crispy bacon."
19,"Uitsmijter kaas en boerenham / spek","Uitsmijter met keuze uit kaas, boerenham of spek.","Open-Faced Sandwich with Cheese and Farmer's Ham / Bacon","Open-faced sandwich with your choice of cheese, farmer's ham, or bacon."
20,"Roerei met gerookte zalm","Roerei en gerookte zalm.","Scrambled Eggs with Smoked Salmon","Creamy scrambled eggs paired with smoked salmon."
21,"Boerenomelet","Romig roerei met fijne groenten en beenham.","Farmer's Omelette","Creamy scrambled eggs with fresh vegetables and smoked ham."
22,"Filet American met ui, augurk en ei","Sandwich met filet American, ui, augurk en gekookt ei.","American Beef Tartare","Sandwich with beef tartare, onions, pickles, and hard-boiled egg."
23,"Geitenkaas, walnoten en perencompote","Sandwich met geitenkaas, walnoten, spekjes en perencompote.","Goat Cheese, Walnuts, and Pear Compote","Sandwich with goat cheese, walnuts, crispy bacon, and pear compote."
24,"Tonijnsalade huisgemaakt","Huisgemaakte tonijnsalade met ei, kappertjes en slaboeket.","Homemade Tuna Salad","Homemade tuna salad with egg, capers, and a mix of greens."
25,"Carpaccio van ossenhaas","Carpaccio met truffelmayonaise, Pecorino en pijnboompitten.","Beef Tenderloin Carpaccio","Carpaccio with truffle mayonnaise, Pecorino cheese, and pine nuts."
